date,seed,model,h1,rv_h1
2024-04-30,2024,Random Forest,13.148761919415236,13.43938302996639
2024-04-30,99,Random Forest,13.07752665006566,13.43938302996639
2024-08-31,42,Random Forest,19.01631158403188,19.108613176196897
2024-08-31,7,Random Forest,19.019971239400476,19.108613176196897
2024-08-31,123,Random Forest,19.0094720048015,19.108613176196897
2024-08-31,2024,Random Forest,19.023389639131345,19.108613176196897
2024-08-31,99,Random Forest,19.02061343382809,19.108613176196897
2024-12-31,42,Random Forest,14.746349232991884,14.385703780869497
2024-12-31,7,Random Forest,14.646881166257453,14.385703780869497
2024-12-31,123,Random Forest,14.686303954097438,14.385703780869497
2024-12-31,2024,Random Forest,14.598676012812557,14.385703780869497
2024-12-31,99,Random Forest,14.705486717515885,14.385703780869497
2025-04-30,42,Random Forest,49.92616316279297,51.97277720014856
2025-04-30,7,Random Forest,50.55895212644892,51.97277720014856
2025-04-30,123,Random Forest,50.194752391290585,51.97277720014856
2025-04-30,2024,Random Forest,50.226095444645665,51.97277720014856
2025-04-30,99,Random Forest,50.326734401537735,51.97277720014856
2025-08-31,42,Random Forest,11.871419872710183,10.622757397427389
2025-08-31,7,Random Forest,11.851234724720793,10.622757397427389
2025-08-31,123,Random Forest,11.876744080366501,10.622757397427389
2025-08-31,2024,Random Forest,11.881834774655292,10.622757397427389
2025-08-31,99,Random Forest,11.918087023380004,10.622757397427389
2017-12-31,42,XGBoost,6.069225788116455,5.820113387944522
2017-12-31,7,XGBoost,6.041179656982422,5.820113387944522
2017-12-31,123,XGBoost,6.047710418701172,5.820113387944522
2017-12-31,2024,XGBoost,6.038639068603516,5.820113387944522
2017-12-31,99,XGBoost,6.028454303741455,5.820113387944522
2018-04-30,42,XGBoost,16.766462326049805,15.153431126085556
2018-04-30,7,XGBoost,16.994535446166992,15.153431126085556
2018-04-30,123,XGBoost,16.632184982299805,15.153431126085556
2018-04-30,2024,XGBoost,16.779739379882812,15.153431126085556
2018-04-30,99,XGBoost,16.94643211364746,15.153431126085556
2018-08-31,42,XGBoost,6.967745780944824,7.060597869729329
2018-08-31,7,XGBoost,6.962337493896484,7.060597869729329
2018-08-31,123,XGBoost,7.025145053863525,7.060597869729329
2018-08-31,2024,XGBoost,6.965154647827148,7.060597869729329
2018-08-31,99,XGBoost,7.0991950035095215,7.060597869729329
2018-12-31,42,XGBoost,33.030242919921875,28.585397078502773
2018-12-31,7,XGBoost,34.20553970336914,28.585397078502773
2018-12-31,123,XGBoost,33.582244873046875,28.585397078502773
2018-12-31,2024,XGBoost,32.29579162597656,28.585397078502773
2018-12-31,99,XGBoost,35.954097747802734,28.585397078502773
2019-04-30,42,XGBoost,7.079755783081055,5.885297721255098
2019-04-30,7,XGBoost,7.107852458953857,5.885297721255098
2019-04-30,123,XGBoost,7.128969669342041,5.885297721255098
2019-04-30,2024,XGBoost,7.136926651000977,5.885297721255098
2019-04-30,99,XGBoost,7.37464714050293,5.885297721255098
2019-08-31,42,XGBoost,21.383594512939453,23.508795569343405
2019-08-31,7,XGBoost,21.298898696899414,23.508795569343405
2019-08-31,123,XGBoost,21.167133331298828,23.508795569343405
2019-08-31,2024,XGBoost,21.664857864379883,23.508795569343405
2019-08-31,99,XGBoost,21.195404052734375,23.508795569343405
